ensembl	hgnc
474	ENSG00000028528	11172
475	ENSG00000028839	11589
476	ENSG00000029153	18984
477	ENSG00000029363	16863
478	ENSG00000029364	20182
479	ENSG00000029534	492
480	ENSG00000029559	5341
481	ENSG00000029639	17037
482	ENSG00000029725	17677
483	ENSG00000029993	5004
484	ENSG00000030066	18017
485	ENSG00000030110	949
486	ENSG00000030304	7525
487	ENSG00000030419	13177
488	ENSG00000030582	4601
489	ENSG00000031003	1335
490	ENSG00000031081	29216
491	ENSG00000031691	21347
492	ENSG00000031698	10537
493	ENSG00000031823	9850
494	ENSG00000032219	9885
495	ENSG00000032389	12383
496	ENSG00000032444	16268
497	ENSG00000032742	20606
498	ENSG00000033011	18294
499	ENSG00000033030	25265
500	ENSG00000033050	71
501	ENSG00000033100	29270
502	ENSG00000033122	18531
503	ENSG00000033170	4019
504	ENSG00000033178	25581
505	ENSG00000033327	14458
506	ENSG00000033627	865
507	ENSG00000033800	2752
508	ENSG00000033867	11033
509	ENSG00000034053	579
510	ENSG00000034152	6843
511	ENSG00000034239	25678
512	ENSG00000034510	11879
513	ENSG00000034533	25021
514	ENSG00000034677	13432
515	ENSG00000034693	8858
516	ENSG00000034713	13291
517	ENSG00000034971	7610
518	ENSG00000035115	29546
519	ENSG00000035141	25911
520	ENSG00000035403	12665
521	ENSG00000035499	24902
522	ENSG00000035664	2675
523	ENSG00000035681	8017
524	ENSG00000035687	292
525	ENSG00000035720	24133
526	ENSG00000035862	11821
527	ENSG00000035928	9969
528	ENSG00000036054	25622
529	ENSG00000036257	2553
530	ENSG00000036448	7614
531	ENSG00000036473	8512
532	ENSG00000036530	2641
533	ENSG00000036549	NA
534	ENSG00000036565	10934
535	ENSG00000036672	12618
536	ENSG00000036828	1514
537	ENSG00000037042	12419
538	ENSG00000037241	17050
539	ENSG00000037280	3767
540	ENSG00000037474	25994
541	ENSG00000037637	29249
542	ENSG00000037749	7034
543	ENSG00000037757	28469
544	ENSG00000037897	7030
545	ENSG00000037965	5129
546	ENSG00000038002	318
547	ENSG00000038210	18215
548	ENSG00000038219	31792
549	ENSG00000038274	6905
550	ENSG00000038295	11843
551	ENSG00000038358	17157
552	ENSG00000038382	12303
553	ENSG00000038427	2464
554	ENSG00000038532	29013
555	ENSG00000038945	7376
556	ENSG00000039068	1748
557	ENSG00000039123	18734
558	ENSG00000039139	2950
559	ENSG00000039319	20756
560	ENSG00000039523	25836
561	ENSG00000039537	1339
562	ENSG00000039560	14873
563	ENSG00000039600	30635
564	ENSG00000039650	9154
565	ENSG00000039987	17107
566	ENSG00000040199	29149
567	ENSG00000040275	26010
568	ENSG00000040341	11371
569	ENSG00000040487	26001
570	ENSG00000040531	2518
571	ENSG00000040608	18601
572	ENSG00000040633	28428
573	ENSG00000040731	1749
574	ENSG00000040933	6074
575	ENSG00000041353	9767
576	ENSG00000041357	9533
577	ENSG00000041515	29822
578	ENSG00000041802	25652
579	ENSG00000041880	273
580	ENSG00000041982	5318
581	ENSG00000041988	20855
582	ENSG00000042062	16168
583	ENSG00000042088	18884
584	ENSG00000042286	21411
585	ENSG00000042304	25344
586	ENSG00000042317	20423
587	ENSG00000042429	2375
588	ENSG00000042445	25991
589	ENSG00000042493	1474
590	ENSG00000042753	565
591	ENSG00000042781	12601
592	ENSG00000042813	15662
593	ENSG00000042832	11764
594	ENSG00000042980	206
595	ENSG00000043039	956
596	ENSG00000043093	18184
597	ENSG00000043143	22984
598	ENSG00000043355	12873
599	ENSG00000043462	6529
600	ENSG00000043514	20286
601	ENSG00000043591	285
602	ENSG00000044012	4683
603	ENSG00000044090	21024
604	ENSG00000044115	2509
605	ENSG00000044446	8926
606	ENSG00000044459	23432
607	ENSG00000044524	3387
608	ENSG00000044574	5238
609	ENSG00000046604	3049
610	ENSG00000046647	26044
611	ENSG00000046651	2567
612	ENSG00000046653	4461
613	ENSG00000046774	13574
614	ENSG00000046889	22950
615	ENSG00000047056	31406
616	ENSG00000047188	24721
617	ENSG00000047230	2520
618	ENSG00000047249	18303
619	ENSG00000047315	9188
620	ENSG00000047346	25609
621	ENSG00000047365	16924
622	ENSG00000047410	12017
623	ENSG00000047457	2295
624	ENSG00000047578	29068
625	ENSG00000047579	17328
626	ENSG00000047597	12811
627	ENSG00000047617	1183
628	ENSG00000047621	1184
629	ENSG00000047634	10580
630	ENSG00000047644	29237
631	ENSG00000047648	676
632	ENSG00000047662	29235
633	ENSG00000047849	6862
634	ENSG00000047932	17643
635	ENSG00000047936	10261
636	ENSG00000048028	12625
637	ENSG00000048052	14065
638	ENSG00000048140	13594
639	ENSG00000048162	26934
640	ENSG00000048342	29253
641	ENSG00000048392	17296
642	ENSG00000048405	27267
643	ENSG00000048462	11913
644	ENSG00000048471	30542
645	ENSG00000048540	6643
646	ENSG00000048544	14502
647	ENSG00000048545	4678
648	ENSG00000048649	18118
649	ENSG00000048707	23595
650	ENSG00000048740	2550
651	ENSG00000048828	13247
652	ENSG00000048991	9757
653	ENSG00000049089	2218
654	ENSG00000049130	6343
655	ENSG00000049167	3439
656	ENSG00000049192	222
657	ENSG00000049239	4795
658	ENSG00000049245	12644
659	ENSG00000049246	8847
660	ENSG00000049247	12636
661	ENSG00000049249	11924
662	ENSG00000049283	18235
663	ENSG00000049323	6714
664	ENSG00000049449	9934
665	ENSG00000049540	3327
666	ENSG00000049541	9970
667	ENSG00000049618	18040
668	ENSG00000049656	24308
669	ENSG00000049759	7728
670	ENSG00000049768	6106
671	ENSG00000049769	14944
672	ENSG00000049860	4879
673	ENSG00000049883	25734
674	ENSG00000050030	29433
675	ENSG00000050130	20184
676	ENSG00000050165	2893
677	ENSG00000050327	13209
678	ENSG00000050344	7783
